1,Ed Sheeran,Shape Of You
2,Mark Ronson & Bruno Mars,Uptown Funk
3,Luis Fonsi & Daddy Yankee,Despacito
4,Pharrell Williams,Happy
5,LMFAO,Party Rock Anthem
6,Adele,Rolling In The Deep
7,Ed Sheeran,Perfect
8,Gotye & Kimbra,Somebody That I Used To Know
9,Ed Sheeran,Thinking Out Loud
10,Imagine Dragons,Radioactive
11,The Chainsmokers & Halsey,Closer
12,John Legend,All Of Me
13,Justin Timberlake,Can't Stop The Feeling
14,Sia,Cheap Thrills
15,Carly Rae Jepsen,Call Me Maybe
16,OneRepublic,Counting Stars
17,Avicii,Wake Me Up
18,Camila Cabello & Young Thug,Havana
19,Adele,Someone Like You
20,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines
21,Justin Bieber,Love Yourself
22,Maroon 5 & Christina Aguilera,Moves Like Jagger
23,Post Malone & 21 Savage,Rockstar
24,"Drake, Wizkid & Kyla",One Dance
25,Sia,Chandelier
26,Justin Bieber,Sorry
27,Major Lazer & DJ Snake,Lean On
28,Rihanna & Calvin Harris,We Found Love
29,Meghan Trainor,All About That Bass
30,Sam Smith,Stay With Me
31,Hozier,Take Me To Church
32,Wiz Khalifa & Charlie Puth,See You Again
33,Taylor Swift,Shake It Off
34,The Chainsmokers & Daya,Don't Let Me Down
35,OMI,Cheerleader
36,Katy Perry,Dark Horse
37,Macklemore & Ryan Lewis,Thrift Shop
38,Drake,God's Plan
39,"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything
40,Passenger,Let Her Go
41,The Weeknd,The Hills
42,Twenty One Pilots,Stressed Out
43,Bruno Mars,That's What I Like
44,Shawn Mendes,Stitches
45,The Lumineers,Ho Hey
46,LMFAO,Sexy And I Know It
47,Daft Punk & Pharrell Williams,Get Lucky
48,Imagine Dragons,Thunder
49,fun.,We Are Young
50,The Weeknd,Can't Feel My Face
51,Fetty Wap,Trap Queen
52,Adele,Hello
53,Rihanna,Diamonds
54,Bruno Mars,Locked Out Of Heaven
55,Justin Bieber,What Do You Mean?
56,The Chainsmokers & Coldplay,Something Just Like This
57,French Montana & Swae Lee,Unforgettable
58,Bruno Mars,Just The Way You Are
59,Psy,Gangnam Style
60,Macklemore & Ryan Lewis,Can't Hold Us
61,Bastille,Pompeii
62,Pitbull & Ke$ha,Timber
63,David Guetta & Sia,Titanium
64,Walk the Moon,Shut Up & Dance
65,Dua Lipa,New Rules
66,Adele,Set Fire To The Rain
67,The Weeknd & Daft Punk,Starboy
68,Twenty One Pilots,Heathens
69,Lorde,Royals
70,Katy Perry,Roar
71,Lukas Graham,Seven Years
72,Imagine Dragons,Believer
73,James Arthur,Say You Won't Let Go
74,Maroon 5,Sugar
75,Katy Perry,Firework
76,Ellie Goulding,Love Me Like You Do
77,DJ Snake & Justin Bieber,Let Me Love You
78,Rihanna & Drake,Work
79,Bebe Rexha & Florida Georgia Line,Meant To Be
80,Calvin Harris & Rihanna,This Is What You Came For
81,Mike Posner,I Took A Pill In Ibiza
82,Pink & Nate Ruess,Just Give Me A Reason
83,Clean Bandit & Jess Glynne,Rather Be
84,Jennifer Lopez & Pitbull,On The Floor
85,Taio Cruz,Dynamite
86,Imagine Dragons,Demons
87,Drake,Hotline Bling
88,Magic!,Rude
89,Bruno Mars,Grenade
90,Bruno Mars,24K Magic
91,Eminem & Rihanna,Love The Way You Lie
92,fun.,Some Nights
93,Flo-Rida,Good Feeling
94,"Cardi B, Bad Bunny & J Balvin",I Like It
95,Desiigner,Panda
96,Charlie Puth,Attention
97,Maroon 5,One More Night
98,Jason Derulo,Want To Want Me
99,Taylor Swift,Blank Space
100,The Weeknd,Earned It
101,DNCE,Cake By The Ocean
102,Maroon 5 & Cardi B,Girls Like You
103,will.i.am & Britney Spears,Scream & Shout
104,Iggy Azalea & Charli XCX,Fancy
105,Justin Timberlake,Mirrors
106,Rihanna,Only Girl
107,"Zedd, Maren Morris & Grey",The Middle
108,Rihanna & Mikky Ekko,Stay
109,Skrillex & Diplo,Where Are U Now
110,PORTUGAL. THE MAN,Feel It Still
111,Maroon 5 & Wiz Khalifa,Payphone
112,Fifth Harmony & Ty Dolla $ign,Work From Home
113,Ed Sheeran,Photograph
114,Shawn Mendes,Treat You Better
115,Train,"Hey, Soul Sister"
116,"Major Lazer, Justin Bieber & MO",Cold Water
117,Sam Smith,I'm Not The Only One
118,Cee-Lo Green,Fuck You Forget You
119,Foster the People,Pumped Up Kicks
120,Post Malone & Ty Dolla $ign,Psycho
121,Jason Derulo & 2 Chainz,Talk Dirty
122,Post Malone & Quavo,Congratulations
123,AWOLNATION,Sail
124,Mr Probz,Waves
125,Nicki Minaj,Starships
126,Kendrick Lamar,Humble
127,Ke$ha,Tik Tok
128,Eminem & Rihanna,The Monster
129,Katy Perry & Snoop Dogg,California Gurls
130,Miley Cyrus,Wrecking Ball
131,Silento,Watch Me
132,Nico & Vinz,Am I Wrong
133,Bruno Mars,When I Was Your Man
134,Shawn Mendes,There's Nothing Holdin' Me Back
135,One Direction,What Makes You Beautiful
136,Cardi B,Bodak Yellow
137,Taylor Swift,I Knew You Were Trouble
138,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang
139,Ed Sheeran,Castle On The Hill
140,Fetty Wap & Remy Boyz,679
141,Post Malone,Better Now
142,Flo-Rida & Sia,The Wild Ones
143,Lady GaGa,Bad Romance
144,Kygo & Selena Gomez,It Ain't Me
145,David Guetta & Usher,Without You
146,Drake,Nice For What
147,Vance Joy,Riptide
148,Rihanna,Needed Me
149,Nicki Minaj,Super Bass
150,Coldplay,Paradise
151,Flo-Rida,Whistle
152,Kelly Clarkson,Stronger
153,G-Eazy & Bebe Rexha,"Me, Myself & I"
154,Ellie Goulding,Lights
155,Ellie Goulding,Burn
156,Katy Perry & Kanye West,E.T.
157,Migos & Lil Uzi Vert,Bad And Boujee
158,The Weeknd & Daft Punk,I Feel It Coming
159,Rihanna,S&M
160,Alex Clare,Too Close
161,The Black Eyed Peas,I Gotta Feeling
162,Avicii,"Hey, Brother"
163,Twenty One Pilots,Ride
164,Capital Cities,Safe And Sound
165,Lady GaGa,Born This Way
166,Usher & Pitbull,DJ Got Us Fallin' In Love
167,Juice WRLD,Lucid Dreams
168,Drake,In My Feelings
169,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
170,Calvin Harris,Summer
171,Ariana Grande & Iggy Azalea,Problem
172,Swedish House Mafia & John Martin,Don't You Worry Child
173,Sam Hunt,Body Like A Back Road
174,"DJ Khaled, Rihanna & Bryson Tiller",Wild Thoughts
175,Idina Menzel,Let It Go
176,Rae Sremmurd & Gucci Mane,Black Beatles
177,Marshmello & Anne-Marie,Friends
178,Shakira & Freshly Ground,Waka Waka
179,"Logic, Alessia Cara & Khalid",1-800-273-8255
180,Zayn & Taylor Swift,I Don't Wanna Live Forever
181,Khalid & Normani,Love Lies
182,DJ Snake & Lil' Jon,Turn Down For What
183,Train,Drive By
184,Lady GaGa & Beyonce,Telephone
185,Tove Lo,Habits
186,Ariana Grande,No Tears Left To Cry
187,The Black Eyed Peas,Just Can't Get Enough
188,Ariana Grande & Nicki Minaj,Side To Side
189,Flo-Rida,My House
190,Demi Lovato,Sorry Not Sorry
191,Sam Smith,Too Good At Goodbyes
192,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye
193,Lil Uzi Vert,XO TOUR Llif3
194,Lady Antebellum,Need You Now
195,Future,Mask Off
196,Jay-Z & Kanye West,Niggas in Paris
197,Florida Georgia Line,Cruise
198,Mariah Carey,All I Want For Christmas Is You
199,Camila Cabello,Never Be The Same
200,Enrique Iglesias & Pitbull,I Like It
